Country,GDP
Aruba,3103184102
Africa Eastern and Southern,1.08653E+12
Afghanistan,14266499430
Africa Western and Central,8.44928E+11
Angola,66505129989
Albania,17930565119
Andorra,3325143693
Arab World,2.93048E+12
United Arab Emirates,4.15179E+11
Argentina,4.87903E+11
Armenia,13878908629
American Samoa,750000000
Antigua and Barbuda,1601366667
Australia,1.55903E+12
Austria,4.79295E+11
Azerbaijan,54825411765
Burundi,2775798697
Belgium,6.00749E+11
Benin,17687623535
Burkina Faso,19642668880
Bangladesh,4.16265E+11
Bulgaria,84041493016
Bahrain,39288670213
"Bahamas, The",11527600000
Bosnia and Herzegovina,23649568277
Belarus,69673747132
Belize,2424575179
Bermuda,7127200000
Bolivia,40406111695
Brazil,1.64962E+12
Barbados,4923100000
Brunei Darussalam,14006496617
Bhutan,2768003873
Botswana,18737066311
Central African Republic,2516498412
Canada,2.00747E+12
Central Europe and the Baltics,1.908E+12
Switzerland,8.13409E+11
Channel Islands,11735662220
Chile,3.16581E+11
China,1.78205E+13
Cote d'Ivoire,71811075955
Cameroon,44993521774
"Congo, Dem. Rep.",55328482784
"Congo, Rep.",14825708811
Colombia,3.18512E+11
Comoros,1296089479
Cabo Verde,1997866379
Costa Rica,64960725734
Caribbean small states,76123490343
Cuba,
Curacao,2739594360
Cayman Islands,6028373513
Cyprus,29482917679
Czechia,2.81791E+11
Germany,4.2785E+12
Djibouti,3385825229
Dominica,555266666.7
Denmark,4.05688E+11
Dominican Republic,94243425938
Algeria,1.63472E+11
East Asia & Pacific (excluding high income),2.08392E+13
Early-demographic dividend,1.2717E+13
East Asia & Pacific,3.11413E+13
Europe & Central Asia (excluding high income),3.58012E+12
Europe & Central Asia,2.53249E+13
Ecuador,1.06166E+11
"Egypt, Arab Rep.",4.24672E+11
Euro area,1.47547E+13
Eritrea,
Spain,1.44565E+12
Estonia,37191166152
Ethiopia,1.11262E+11
European Union,1.73152E+13
Fragile and conflict affected situations,1.7826E+12
Finland,2.9647E+11
Fiji,4305031631
France,2.95936E+12
Faroe Islands,3655063938
"Micronesia, Fed. Sts.",406000000
Gabon,20217946922
United Kingdom,3.14151E+12
Georgia,18629365612
Ghana,79524421861
Gibraltar,
Guinea,16091817842
"Gambia, The",2038414969
Guinea-Bissau,1638517607
Equatorial Guinea,12104994084
Greece,2.14668E+11
Grenada,1122800000
Greenland,3235809504
Guatemala,86053083476
Guam,6123000000
Guyana,8041362110
High income,6.02455E+13
